Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.86     19.18     0.31                             inner_loop (fill_triangle.c:149 @ b5bb)
  0.82     19.47     0.29                             inner_loop (fill_triangle.c:160 @ b645)
  0.78     19.75     0.28                             inner_loop (fill_triangle.c:144 @ b5ab)
  0.75     20.02     0.27                             inner_loop (fill_triangle.c:142 @ b590)
  0.75     20.29     0.27                             inner_loop (fill_triangle.c:152 @ b5ec)
  0.74     20.55     0.27                             inner_loop (fill_triangle.c:149 @ b5e7)
  0.72     20.82     0.26                             matrix_mult_vec3_4x4 (matrix_mult.c:62 @ aa02)
  0.71     21.07     0.26                             inner_loop (fill_triangle.c:148 @ b5a9)
  0.69     21.32     0.25                             inner_loop (fill_triangle.c:149 @ b172)
  0.69     21.57     0.25                             inner_loop (fill_triangle.c:155 @ b185)
  0.67     21.81     0.24                             get_unset_used_index (clipping_xy.c:71 @ cd4b)
  0.64     22.04     0.23                             inner_loop (fill_triangle.c:144 @ b5b6)
  0.61     22.26     0.22                             inner_loop (fill_triangle.c:157 @ b62a)
  0.61     22.48     0.22                             paethPredictor (lodepng.c:4247 @ 1bc11)
  0.56     22.68     0.20                             inner_loop (fill_triangle.c:146 @ b129)
  0.56     22.88     0.20                             inner_loop (fill_triangle.c:143 @ b130)
  0.56     23.08     0.20                             inner_loop (fill_triangle.c:148 @ b132)
  0.56     23.28     0.20                             inner_loop (fill_triangle.c:161 @ b63f)
  0.53     23.47     0.19                             my_str_cpy (get_next_line_utils.c:70 @ 104b8)
  0.51     23.66     0.18                             matrix_mult_vec3_4x4 (matrix_mult.c:65 @ aa98)
  0.50     23.84     0.18                             fill_triangle_color (fill_triangle2.c:142 @ b9cd)
  0.49     24.01     0.17                             fill_triangle_color (fill_triangle2.c:143 @ b9d3)
  0.49     24.18     0.17                             fill_triangle_color (fill_triangle2.c:204 @ bd00)
  0.49     24.36     0.17                             paethPredictor (lodepng.c:4250 @ 1bc4f)
  0.47     24.53     0.17                             fill_triangle_color (fill_triangle2.c:142 @ b903)
  0.47     24.70     0.17                             inner_loop (fill_triangle.c:159 @ b1c9)
  0.46     24.86     0.17                             inner_loop (fill_triangle.c:155 @ b192)
  0.44     25.02     0.16                             inner_loop (fill_triangle.c:157 @ b18a)
  0.44     25.18     0.16                             update_adler32 (lodepng.c:2148 @ 172ec)
  0.43     25.34     0.15                             inner_loop (fill_triangle.c:157 @ b196)
  0.42     25.49     0.15                             inner_loop (fill_triangle.c:157 @ b1b4)
  0.40     25.64     0.14                             get_unset_used_index (clipping_xy.c:69 @ cd42)
  0.40     25.78     0.14                             inner_loop (fill_triangle.c:154 @ b5fa)
  0.40     25.93     0.14                             paethPredictor (lodepng.c:4241 @ 1bbce)
  0.39     26.07     0.14                             draw_mesh (draw.c:421 @ 5df1)
  0.39     26.20     0.14                             inner_loop (fill_triangle.c:141 @ b43d)
  0.39     26.34     0.14                             matrix_mult_vec3_4x4 (matrix_mult.c:64 @ aa74)
  0.37     26.48     0.14                             fill_triangle_color (fill_triangle2.c:202 @ bbbe)
  0.35     26.61     0.12                             inner_loop (fill_triangle.c:159 @ b642)
  0.35     26.73     0.12                             paethPredictor (lodepng.c:4244 @ 1bbe7)
  0.33     26.85     0.12                             ft_memcpy (ft_memcpy.c:29 @ ec33)
  0.33     26.97     0.12                             matrix_mult_vec3_4x4 (matrix_mult.c:63 @ aa51)
  0.31     27.08     0.11                             inner_loop (fill_triangle.c:144 @ b13e)
  0.31     27.19     0.11                             inner_loop (fill_triangle.c:155 @ b5fe)
  0.29     27.30     0.10                             inner_loop (fill_triangle.c:148 @ b5b1)
  0.29     27.40     0.10                             unfilterScanline (lodepng.c:4493 @ 1d347)
  0.28     27.50     0.10                             fill_triangle_color (fill_triangle2.c:204 @ bbdf)
  0.28     27.60     0.10                             get_unset_used_index (clipping_xy.c:71 @ cd2f)
  0.28     27.70     0.10                             unfilterScanline (lodepng.c:4497 @ 1d43d)
  0.28     27.80     0.10                             update_adler32 (lodepng.c:2146 @ 172f2)
  0.26     27.89     0.10                             ensureBits32 (lodepng.c:546 @ 153b0)
  0.26     27.99     0.10                             fill_triangle_color (fill_triangle2.c:204 @ bbb8)
  0.26     28.09     0.10                             inner_loop (fill_triangle.c:154 @ b19a)
  0.26     28.18     0.10                             paethPredictor (lodepng.c:4249 @ 1bc36)
  0.22     28.26     0.08 253850820     0.32     0.32  matrix_mult_vec3_4x4 (matrix_mult.c:61 @ a9f0)
  0.22     28.34     0.08 110937090     0.72     0.72  ft_memcpy (ft_memcpy.c:16 @ eb80)
  0.22     28.42     0.08 31540364     2.54     2.54  rasterize (draw.c:251 @ 53e0)
  0.22     28.50     0.08                             _init
  0.22     28.58     0.08                             advanceBits (lodepng.c:570 @ 155df)
  0.22     28.66     0.08                             ensureBits32 (lodepng.c:549 @ 15443)
  0.22     28.74     0.08                             fill_triangle_color (fill_triangle2.c:139 @ b8d8)
  0.22     28.82     0.08                             ft_memcpy (ft_memcpy.c:28 @ eb9f)
  0.22     28.90     0.08                             huffmanDecodeSymbol (lodepng.c:1076 @ 161a0)
  0.22     28.98     0.08                             inner_loop (fill_triangle.c:146 @ b14f)
  0.22     29.06     0.08                             paethPredictor (lodepng.c:4245 @ 1bbfc)
  0.22     29.14     0.08                             unfilterScanline (lodepng.c:4496 @ 1d408)
  0.22     29.22     0.08                             update_adler32 (lodepng.c:2147 @ 172d7)
  0.21     29.30     0.07                             inflateHuffmanBlock (lodepng.c:1295 @ 16b9b)
  0.21     29.37     0.07                             inflateHuffmanBlock (lodepng.c:1315 @ 16cbf)
  0.21     29.45     0.07                             inner_loop (fill_triangle.c:139 @ b63c)
  0.21     29.52     0.07                             matrix_mult_vec3_4x4 (matrix_mult.c:66 @ aabf)
  0.21     29.59     0.07                             unfilterScanline (lodepng.c:4499 @ 1d4a7)
  0.19     29.66     0.07                             inner_loop (fill_triangle.c:142 @ b59d)
  0.19     29.73     0.07                             inner_loop (fill_triangle.c:153 @ b5f5)
  0.19     29.80     0.07                             inner_loop (fill_triangle.c:154 @ b610)
  0.18     29.87     0.07                             advanceBits (lodepng.c:569 @ 155c7)
  0.17     29.93     0.06 159656253     0.38     0.38  v3_sub (vec3.c:138 @ 6270)
  0.17     29.99     0.06                             fill_triangle_color (fill_triangle2.c:205 @ bcf5)
  0.17     30.05     0.06                             fill_triangle_color (fill_triangle2.c:208 @ bd15)
  0.17     30.11     0.06                             fill_triangle_color (fill_triangle2.c:197 @ bd1e)
  0.17     30.17     0.06                             inner_loop (fill_triangle.c:143 @ b5a7)
  0.17     30.23     0.06                             v3_sub (vec3.c:141 @ 628a)
  0.17     30.29     0.06                             v3_sub (vec3.c:145 @ 62ae)
  0.15     30.34     0.06                             fill_triangle_color (fill_triangle2.c:140 @ b8df)
  0.15     30.40     0.06                             inner_loop (fill_triangle.c:139 @ b1c3)
  0.15     30.45     0.06                             inner_loop (fill_triangle.c:161 @ b64b)
  0.15     30.51     0.06                             unfilterScanline (lodepng.c:4492 @ 1d31f)
  0.15     30.57     0.06                             unfilterScanline (lodepng.c:4495 @ 1d3d7)
  0.14     30.61     0.05                             fill_triangle_color (fill_triangle2.c:139 @ b9b4)
  0.14     30.66     0.05                             fill_triangle_color (fill_triangle2.c:207 @ bbf1)
  0.14     30.71     0.05                             fill_triangle_color (fill_triangle2.c:208 @ bbf4)
  0.14     30.77     0.05                             fill_triangle_color (fill_triangle2.c:199 @ bcd0)
  0.14     30.82     0.05                             ft_memcpy (ft_memcpy.c:29 @ ebf8)
  0.14     30.86     0.05                             huffmanDecodeSymbol (lodepng.c:1075 @ 16187)
  0.14     30.91     0.05                             inner_loop (fill_triangle.c:141 @ afd5)
  0.14     30.96     0.05                             inner_loop (fill_triangle.c:139 @ b1d4)
  0.14     31.02     0.05                             peekBits (lodepng.c:564 @ 1559f)
  0.14     31.07     0.05                             rasterize (draw.c:328 @ 5875)
  0.12     31.11     0.04 90127182     0.50     0.50  zero_f (utils1.c:63 @ 7a50)
  0.12     31.16     0.04                             fill_triangle_color (fill_triangle2.c:203 @ bbc6)
  0.12     31.20     0.04                             ft_memcpy (ft_memcpy.c:28 @ ec02)
  0.12     31.25     0.04                             ft_memcpy (ft_memcpy.c:28 @ eca1)
  0.12     31.29     0.04                             inner_loop (fill_triangle.c:144 @ b597)
  0.11     31.33     0.04 31540364     1.27     1.27  projection_matrix (init_matrix.c:57 @ 9fe0)
  0.11     31.37     0.04 27634262     1.45     1.45  call_clipping_xy (clipping_xy.c:250 @ cba0)
  0.11     31.41     0.04                             ensureBits32 (lodepng.c:547 @ 15400)
  0.11     31.45     0.04                             ensureBits32 (lodepng.c:548 @ 15426)
  0.11     31.49     0.04                             fill_triangle_color (fill_triangle2.c:147 @ b914)
  0.11     31.53     0.04                             fill_triangle_color (fill_triangle2.c:141 @ b9c0)
  0.11     31.57     0.04                             fill_triangle_color (fill_triangle2.c:205 @ bbd5)
  0.11     31.61     0.04                             fill_triangle_color (fill_triangle2.c:209 @ bbfa)
  0.11     31.65     0.04                             fill_triangle_color (fill_triangle2.c:203 @ bce6)
  0.11     31.69     0.04                             inner_loop (fill_triangle.c:154 @ b181)
  0.11     31.73     0.04                             inner_loop (fill_triangle.c:156 @ b626)
  0.11     31.77     0.04                             unfilterScanline (lodepng.c:4498 @ 1d472)
  0.10     31.80     0.04                             advanceBits (lodepng.c:568 @ 155bb)
  0.10     31.84     0.04                             dot_prod_unit (vec3.c:111 @ 617e)
  0.10     31.88     0.04                             ensureBits32 (lodepng.c:544 @ 15392)
  0.10     31.91     0.04                             fill_triangle_color (fill_triangle2.c:134 @ b8c0)
  0.10     31.95     0.04                             fill_triangle_color (fill_triangle2.c:136 @ b8c2)
  0.10     31.98     0.04                             fill_triangle_color (fill_triangle2.c:135 @ b9ab)
  0.10     32.02     0.04                             readBits (lodepng.c:575 @ 15609)
  0.10     32.05     0.04                             v3_sub (vec3.c:145 @ 6297)
  0.08     32.08     0.03                             call_clipping_xy (clipping_xy.c:268 @ d228)
  0.08     32.11     0.03                             cpy_triangle_data_rasterize (draw.c:244 @ 5618)
  0.08     32.14     0.03                             draw_mesh (draw.c:417 @ 5de8)
  0.08     32.17     0.03                             ensureBits32 (lodepng.c:542 @ 15376)
  0.08     32.20     0.03                             ensureBits32 (lodepng.c:547 @ 153e3)
  0.08     32.23     0.03                             ensureBits32 (lodepng.c:546 @ 1541f)
  0.08     32.26     0.03                             fill_slider (menu.c:88 @ de0c)
  0.08     32.29     0.03                             fill_slider (menu.c:93 @ de48)
  0.08     32.32     0.03                             fill_triangle_color (fill_triangle2.c:145 @ b911)
  0.08     32.35     0.03                             fill_triangle_color (fill_triangle2.c:143 @ b9dc)
  0.08     32.38     0.03                             fill_triangle_color (fill_triangle2.c:145 @ b9e1)
  0.08     32.41     0.03                             fill_triangle_color (fill_triangle2.c:148 @ b9ed)
  0.08     32.44     0.03                             fill_triangle_color (fill_triangle2.c:130 @ b9f1)
  0.08     32.47     0.03                             fill_triangle_color (fill_triangle2.c:197 @ bbfe)
  0.08     32.50     0.03                             fill_triangle_color (fill_triangle2.c:204 @ bcd7)
  0.08     32.53     0.03                             ft_memcpy (ft_memcpy.c:31 @ ebd8)
  0.08     32.56     0.03                             ft_memcpy (ft_memcpy.c:29 @ ec75)
  0.08     32.59     0.03                             ft_memcpy (ft_memcpy.c:28 @ ed6a)
  0.08     32.62     0.03                             huffmanDecodeSymbol (lodepng.c:1073 @ 1615e)
  0.08     32.65     0.03                             huffmanDecodeSymbol (lodepng.c:1074 @ 16172)
  0.08     32.68     0.03                             inflateHuffmanBlock (lodepng.c:1279 @ 16b00)
  0.08     32.71     0.03                             inflateHuffmanBlock (lodepng.c:1281 @ 16b09)
  0.08     32.74     0.03                             inflateHuffmanBlock (lodepng.c:1307 @ 16c2e)
  0.08     32.77     0.03                             inner_loop (fill_triangle.c:161 @ b1c6)
  0.08     32.80     0.03                             inner_loop (fill_triangle.c:161 @ b1d0)
  0.08     32.83     0.03                             my_str_cpy (get_next_line_utils.c:74 @ 10504)
  0.08     32.86     0.03                             projection_matrix (init_matrix.c:74 @ a024)
  0.08     32.89     0.03                             rasterize (draw.c:265 @ 54a9)
  0.08     32.92     0.03                             rasterize (draw.c:285 @ 5581)
  0.08     32.95     0.03                             reverseBits (lodepng.c:584 @ 1564c)
  0.08     32.98     0.03                             sort_buffer (get_next_line_utils.c:101 @ 104a8)
  0.08     33.01     0.03                             unfilterScanline (lodepng.c:4494 @ 1d3af)
  0.08     33.04     0.03                             v3_sub (vec3.c:146 @ 62ad)
  0.07     33.06     0.03                             draw_mesh (draw.c:379 @ 5c42)
  0.07     33.09     0.03                             fill_triangle_color (fill_triangle2.c:130 @ b9a8)
  0.07     33.12     0.03                             fill_triangle_color (fill_triangle2.c:142 @ b9da)
  0.07     33.14     0.03                             fill_triangle_texture (fill_triangle.c:207 @ af33)
  0.07     33.16     0.03                             fill_triangle_texture (fill_triangle.c:247 @ b0a3)
  0.07     33.19     0.03                             ft_memcpy (ft_memcpy.c:28 @ ec5a)
  0.07     33.22     0.03                             get_unset_last_used_index (clipping_xy.c:54 @ d178)
  0.07     33.24     0.03                             inflateHuffmanBlock (lodepng.c:1309 @ 16c42)
  0.07     33.27     0.03                             inner_loop (fill_triangle.c:154 @ b18d)
  0.07     33.29     0.03                             inner_loop (fill_triangle.c:143 @ b5ae)
  0.07     33.31     0.03                             peekBits (lodepng.c:562 @ 15593)
  0.07     33.34     0.03                             reset_pixel_buffer_main (main.c:104 @ 33df)
  0.06     33.36     0.02 32840414     0.61     0.61  clipping_z_near (clipping_z.c:126 @ c500)
  0.06     33.38     0.02                             clipping_z_near (clipping_z.c:126 @ c549)
  0.06     33.40     0.02                             clipping_z_near (clipping_z.c:137 @ c560)
  0.06     33.42     0.02                             clipping_z_near (clipping_z.c:143 @ c5b6)
  0.06     33.44     0.02                             clipping_z_near (clipping_z.c:193 @ c5ce)
  0.06     33.46     0.02                             count_inside_points (clipping_xy.c:158 @ cc2d)
  0.06     33.48     0.02                             count_inside_points (clipping_xy.c:162 @ cca0)
  0.06     33.50     0.02                             count_inside_points (clipping_xy.c:156 @ cd67)
  0.06     33.52     0.02                             draw_mesh (draw.c:370 @ 5ae1)
  0.06     33.54     0.02                             draw_mesh (draw.c:374 @ 5b2a)
  0.06     33.56     0.02                             draw_mesh (draw.c:381 @ 5cda)
  0.06     33.58     0.02                             draw_mesh (draw.c:389 @ 5cff)
  0.06     33.60     0.02                             fill_triangle_color (fill_triangle2.c:142 @ b8f5)
  0.06     33.62     0.02                             fill_triangle_color (fill_triangle2.c:148 @ b91b)
  0.06     33.64     0.02                             fill_triangle_color (fill_triangle2.c:134 @ b9a0)
  0.06     33.66     0.02                             fill_triangle_color (fill_triangle2.c:199 @ bbb0)
  0.06     33.68     0.02                             fill_triangle_color (fill_triangle2.c:205 @ bbe5)
  0.06     33.70     0.02                             fill_triangle_color (fill_triangle2.c:207 @ bbea)
  0.06     33.72     0.02                             fill_triangle_color (fill_triangle2.c:216 @ bc0a)
  0.06     33.74     0.02                             fill_triangle_color (fill_triangle2.c:205 @ bd06)
  0.06     33.76     0.02                             fill_triangle_color (fill_triangle2.c:209 @ bd1a)
  0.06     33.78     0.02                             fill_triangle_texture (fill_triangle.c:292 @ ad31)
  0.06     33.80     0.02                             ft_memcpy (ft_memcpy.c:29 @ ec87)
  0.06     33.82     0.02                             ft_memcpy (ft_memcpy.c:28 @ ec8f)
  0.06     33.84     0.02                             get_unset_used_index (clipping_xy.c:73 @ cc3d)
  0.06     33.86     0.02                             huffmanDecodeSymbol (lodepng.c:1078 @ 161c0)
  0.06     33.88     0.02                             inflateHuffmanBlock (lodepng.c:1261 @ 169e3)
  0.06     33.90     0.02                             inflateHuffmanBlock (lodepng.c:1275 @ 16ab6)
  0.06     33.92     0.02                             inflateHuffmanBlock (lodepng.c:1282 @ 16b1d)
  0.06     33.94     0.02                             inner_loop (fill_triangle.c:157 @ b5f2)
  0.06     33.96     0.02                             inner_loop (fill_triangle.c:139 @ b651)
  0.06     33.98     0.02                             my_str_cpy (get_next_line_utils.c:71 @ 104dc)
  0.06     34.00     0.02                             my_str_cpy (get_next_line_utils.c:74 @ 104e6)
  0.06     34.02     0.02                             rasterize (draw.c:286 @ 5603)
  0.06     34.04     0.02                             set_index_usage (clipping_xy.c:86 @ cd14)
  0.06     34.06     0.02                             unfilterScanline (lodepng.c:4390 @ 1c3ca)
  0.06     34.08     0.02                             update_adler32 (lodepng.c:2146 @ 172ce)
  0.06     34.10     0.02                             v3_sub (vec3.c:143 @ 6285)
  0.06     34.12     0.02                             zero_f (utils1.c:64 @ 7a67)
  0.04     34.13     0.01                             call_clipping_xy (clipping_xy.c:262 @ d110)
  0.04     34.15     0.01                             clipp_loop (clipping_xy.c:241 @ cd26)
  0.04     34.16     0.01                             clipping_z_near (clipping_z.c:137 @ c579)
  0.04     34.18     0.01                             clipping_z_near (clipping_z.c:136 @ c582)
  0.04     34.20     0.01                             dot_prod_unit (vec3.c:112 @ 619e)
  0.04     34.21     0.01                             draw_mesh (draw.c:372 @ 5afe)
  0.04     34.23     0.01                             draw_mesh (draw.c:378 @ 5c32)
  0.04     34.24     0.01                             ensureBits32 (lodepng.c:543 @ 15382)
  0.04     34.26     0.01                             ensureBits32 (lodepng.c:546 @ 153fe)
  0.04     34.27     0.01                             ensureBits32 (lodepng.c:559 @ 15590)
  0.04     34.28     0.01                             fill_triangle_color (fill_triangle2.c:135 @ b8cb)
  0.04     34.30     0.01                             fill_triangle_color (fill_triangle2.c:141 @ b8e7)
  0.04     34.31     0.01                             fill_triangle_color (fill_triangle2.c:205 @ bbce)
  0.04     34.33     0.01                             fill_triangle_color (fill_triangle2.c:205 @ bcee)
  0.04     34.34     0.01                             fill_triangle_color (fill_triangle2.c:207 @ bd0b)
  0.04     34.36     0.01                             ft_memcpy (ft_memcpy.c:29 @ ec63)
  0.04     34.38     0.01                             ft_memcpy (ft_memcpy.c:29 @ eccf)
  0.04     34.39     0.01                             ft_memcpy (ft_memcpy.c:28 @ ecd7)
  0.04     34.41     0.01                             get_unset_last_used_index (clipping_xy.c:56 @ d182)
  0.04     34.42     0.01                             inflateHuffmanBlock (lodepng.c:1278 @ 16adb)
  0.04     34.44     0.01                             inflateHuffmanBlock (lodepng.c:1306 @ 16c10)
  0.04     34.45     0.01                             inflateHuffmanBlock (lodepng.c:1269 @ 16d0c)
  0.04     34.47     0.01                             inflateHuffmanBlock (lodepng.c:1318 @ 16d0e)
  0.04     34.48     0.01                             inner_loop (fill_triangle.c:154 @ b603)
  0.04     34.49     0.01                             lodepng_memcpy (lodepng.c:124 @ 149d2)
  0.04     34.51     0.01                             rasterize (draw.c:251 @ 5449)
  0.04     34.52     0.01                             rasterize (draw.c:258 @ 545b)
  0.04     34.54     0.01                             rasterize (draw.c:301 @ 56d2)
  0.04     34.55     0.01                             unfilterScanline (lodepng.c:4491 @ 1d50f)
  0.03     34.56     0.01 85287694     0.12     0.12  dot_prod_unit (vec3.c:110 @ 6170)
  0.03     34.58     0.01 53415152     0.19     0.19  unit_vec3 (vec3.c:18 @ 5ed0)
  0.03     34.59     0.01 53077379     0.19     0.19  cross_product (vec3.c:99 @ 60f0)
  0.03     34.59     0.01  2839367     3.52     3.52  ft_strchr (ft_strchr.c:16 @ ee60)
  0.03     34.60     0.01                             HuffmanTree_makeTable (lodepng.c:684 @ 15878)
  0.03     34.62     0.01                             HuffmanTree_makeTable (lodepng.c:696 @ 158f2)
  0.03     34.62     0.01                             HuffmanTree_makeTable (lodepng.c:724 @ 15ab9)
  0.03     34.63     0.01                             advanceBits (lodepng.c:571 @ 155f6)
  0.03     34.65     0.01                             append_buffer (get_next_line_utils.c:126 @ 1051c)
  0.03     34.66     0.01                             append_buffer (get_next_line_utils.c:127 @ 10520)
  0.03     34.66     0.01                             append_buffer (get_next_line_utils.c:113 @ 10530)
  0.03     34.67     0.01                             append_buffer (get_next_line_utils.c:114 @ 10535)
  0.03     34.69     0.01                             append_next_sub (ft_split.c:51 @ f628)
  0.03     34.70     0.01                             append_next_sub (ft_split.c:57 @ f675)
  0.03     34.70     0.01                             clipping_xy (clipping_xy.c:176 @ cd0c)
  0.03     34.72     0.01                             clipping_z_near (clipping_z.c:126 @ c535)
  0.03     34.73     0.01                             clipping_z_near (clipping_z.c:137 @ c595)
  0.03     34.73     0.01                             clipping_z_near (clipping_z.c:177 @ c632)
  0.03     34.74     0.01                             count_inside_points (clipping_xy.c:156 @ cc36)
  0.03     34.76     0.01                             count_inside_points (clipping_xy.c:158 @ cc60)
  0.03     34.77     0.01                             count_inside_points (clipping_xy.c:156 @ ccc9)
  0.03     34.77     0.01                             count_inside_points (clipping_xy.c:156 @ cd97)
  0.03     34.78     0.01                             count_inside_points (clipping_xy.c:160 @ cf30)
  0.03     34.80     0.01                             count_inside_points (clipping_xy.c:160 @ cf87)
  0.03     34.80     0.01                             count_inside_points (clipping_xy.c:158 @ cfe8)
  0.03     34.81     0.01                             count_inside_points (clipping_xy.c:160 @ d02f)
  0.03     34.83     0.01                             count_inside_points (clipping_xy.c:158 @ d0c0)
  0.03     34.84     0.01                             count_inside_points (clipping_xy.c:160 @ d24c)
  0.03     34.84     0.01                             cpy_triangle_data_rasterize (draw.c:242 @ 5638)
  0.03     34.85     0.01                             cross_product (vec3.c:106 @ 60fe)
  0.03     34.87     0.01                             cross_product (vec3.c:102 @ 610a)
  0.03     34.88     0.01                             cross_product (vec3.c:102 @ 6131)
  0.03     34.88     0.01                             draw_mesh (draw.c:383 @ 5cd7)
  0.03     34.90     0.01                             draw_mesh (draw.c:389 @ 5ce8)
  0.03     34.91     0.01                             draw_mesh (draw.c:416 @ 5d4a)
  0.03     34.91     0.01                             draw_mesh (draw.c:390 @ 5d67)
  0.03     34.92     0.01                             draw_mesh (draw.c:391 @ 5d6b)
  0.03     34.94     0.01                             draw_mesh (draw.c:407 @ 5d7f)
  0.03     34.95     0.01                             draw_mesh (draw.c:416 @ 5dab)
  0.03     34.95     0.01                             draw_mesh (draw.c:419 @ 5dce)
  0.03     34.97     0.01                             draw_mesh (draw.c:417 @ 5ddb)
  0.03     34.98     0.01                             draw_mesh (draw.c:367 @ 5e57)
  0.03     34.98     0.01                             ensureBits25 (lodepng.c:530 @ 15289)
  0.03     34.99     0.01                             fast_line_intersect (clipping_xy.c:101 @ ca3b)
  0.03     35.01     0.01                             fill_slider (menu.c:90 @ de05)
  0.03     35.02     0.01                             fill_triangle_color (fill_triangle2.c:130 @ b87f)
  0.03     35.02     0.01                             fill_triangle_color (fill_triangle2.c:143 @ b8ef)
  0.03     35.03     0.01                             fill_triangle_color (fill_triangle2.c:143 @ b905)
  0.03     35.05     0.01                             fill_triangle_color (fill_triangle2.c:148 @ b90d)
  0.03     35.05     0.01                             fill_triangle_color (fill_triangle2.c:130 @ b91f)
  0.03     35.06     0.01                             fill_triangle_color (fill_triangle2.c:135 @ b97b)
  0.03     35.08     0.01                             fill_triangle_color (fill_triangle2.c:136 @ b9a4)
  0.03     35.09     0.01                             fill_triangle_color (fill_triangle2.c:140 @ b9b8)
  0.03     35.09     0.01                             fill_triangle_color (fill_triangle2.c:143 @ b9c8)
  0.03     35.10     0.01                             fill_triangle_color (fill_triangle2.c:147 @ b9e7)
  0.03     35.12     0.01                             fill_triangle_texture (fill_triangle.c:211 @ af49)
  0.03     35.12     0.01                             fill_triangle_texture (fill_triangle.c:202 @ b0b5)
  0.03     35.13     0.01                             fill_triangle_texture (fill_triangle.c:265 @ b37c)
  0.03     35.15     0.01                             fill_triangle_texture (fill_triangle.c:270 @ b390)
  0.03     35.16     0.01                             fill_triangle_texture (fill_triangle.c:270 @ b3ec)
  0.03     35.16     0.01                             fill_triangle_texture (fill_triangle.c:270 @ b3fe)
  0.03     35.17     0.01                             fill_triangle_texture (fill_triangle.c:271 @ b402)
  0.03     35.19     0.01                             fill_triangle_texture (fill_triangle.c:285 @ b41d)
  0.03     35.20     0.01                             fill_triangle_texture (fill_triangle.c:286 @ b41f)
  0.03     35.20     0.01                             fill_triangle_texture (fill_triangle.c:281 @ b425)
  0.03     35.22     0.01                             ft_memcpy (ft_memcpy.c:20 @ eb95)
  0.03     35.23     0.01                             ft_memcpy (ft_memcpy.c:22 @ eb9a)
  0.03     35.23     0.01                             ft_memcpy (ft_memcpy.c:28 @ ec7d)
  0.03     35.24     0.01                             ft_memcpy (ft_memcpy.c:29 @ ec99)
  0.03     35.26     0.01                             getPixelColorsRGBA8 (lodepng.c:3633 @ 1a373)
  0.03     35.27     0.01                             getPixelColorsRGBA8 (lodepng.c:3634 @ 1a39c)
  0.03     35.27     0.01                             get_next_line (get_next_line.c:75 @ f865)
  0.03     35.28     0.01                             get_str_count (ft_split.c:24 @ f590)
  0.03     35.30     0.01                             huffmanDecodeSymbol (lodepng.c:1077 @ 161b9)
  0.03     35.30     0.01                             huffmanDecodeSymbol (lodepng.c:1081 @ 161d9)
  0.03     35.31     0.01                             inflateHuffmanBlock (lodepng.c:1262 @ 169ff)
  0.03     35.33     0.01                             inflateHuffmanBlock (lodepng.c:1264 @ 16a0b)
