Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.40     45.56     0.25                             fill_triangle_color (fill_triangle2.c:207 @ bc12)
  0.40     45.81     0.25                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b631)
  0.40     46.06     0.25                             matrix_mult_vec3_4x4 (matrix_mult.c:64 @ aa84)
  0.33     46.27     0.21                             _init
  0.33     46.48     0.21                             fill_triangle_color (fill_triangle2.c:211 @ bd55)
  0.32     46.69     0.20                             ft_memcpy (ft_memcpy.c:28 @ ec42)
  0.32     46.90     0.20                             ft_memcpy (ft_memcpy.c:29 @ ec73)
  0.32     47.09     0.20                             fill_triangle_texture (fill_triangle.c:173 @ b120)
  0.32     47.30     0.20                             paethPredictor (lodepng.c:4244 @ 1bc27)
  0.31     47.49     0.20                             fill_triangle_texture (fill_triangle.c:179 @ b052)
  0.31     47.69     0.20                             fill_triangle_texture (fill_triangle.c:252 @ b63b)
  0.30     47.88     0.19                             fill_triangle_color (fill_triangle2.c:140 @ b9f8)
  0.30     48.06     0.19                             matrix_mult_vec3_4x4 (matrix_mult.c:66 @ aacf)
  0.30     48.26     0.19                             update_adler32 (lodepng.c:2148 @ 1732c)
  0.28     48.44     0.18 371554954     0.48     0.48  v3_sub (vec3.c:138 @ 6270)
  0.27     48.60     0.17 276195394     0.62     0.62  ft_memcpy (ft_memcpy.c:16 @ ebc0)
  0.27     48.77     0.17 75372090     2.26     2.26  rasterize (draw.c:251 @ 53e0)
  0.26     48.94     0.17                             fill_triangle_color (fill_triangle2.c:197 @ bd5e)
  0.25     49.10     0.16 79373758     2.02     2.02  clipping_z_near (clipping_z.c:126 @ c540)
  0.25     49.26     0.16                             fill_triangle_color (fill_triangle2.c:206 @ bd21)
  0.24     49.41     0.15                             fill_triangle_color (fill_triangle2.c:145 @ ba20)
  0.23     49.55     0.14 596854158     0.24     0.24  matrix_mult_vec3_4x4 (matrix_mult.c:61 @ aa00)
  0.23     49.70     0.14                             fill_triangle_texture (fill_triangle.c:173 @ afc2)
  0.23     49.84     0.14                             paethPredictor (lodepng.c:4247 @ 1bc51)
  0.22     49.98     0.14                             draw_mesh (draw.c:417 @ 5de8)
  0.22     50.12     0.14                             fill_triangle_color (fill_triangle2.c:141 @ ba00)
  0.22     50.27     0.14                             fill_triangle_texture (fill_triangle.c:184 @ b07c)
  0.22     50.41     0.14                             my_str_cpy (get_next_line_utils.c:70 @ 104f8)
  0.21     50.54     0.14                             fill_triangle_color (fill_triangle2.c:212 @ bd5a)
  0.21     50.67     0.13                             ft_memcpy (ft_memcpy.c:28 @ ebdf)
  0.20     50.80     0.12                             dot_prod_unit (vec3.c:111 @ 617e)
  0.20     50.92     0.12                             fill_triangle_texture (fill_triangle.c:192 @ b0e4)
  0.20     51.05     0.12                             unfilterScanline (lodepng.c:4493 @ 1d387)
  0.19     51.16     0.12 244898176     0.49     0.49  zero_f (utils1.c:63 @ 7a50)
  0.19     51.28     0.12                             ensureBits32 (lodepng.c:546 @ 153f0)
  0.19     51.41     0.12                             fill_triangle_color (fill_triangle2.c:148 @ b951)
  0.19     51.52     0.12                             fill_triangle_color (fill_triangle2.c:210 @ bc31)
  0.19     51.65     0.12                             ft_memcpy (ft_memcpy.c:29 @ ecfd)
  0.19     51.77     0.12                             paethPredictor (lodepng.c:4250 @ 1bc8f)
  0.18     51.88     0.12                             fill_triangle_color (fill_triangle2.c:140 @ b918)
  0.17     51.99     0.11                             fill_triangle_color (fill_triangle2.c:143 @ b937)
  0.17     52.10     0.11                             fill_triangle_color (fill_triangle2.c:147 @ ba26)
  0.17     52.21     0.11                             fill_triangle_texture (fill_triangle.c:184 @ b084)
  0.17     52.32     0.11                             fill_triangle_texture (fill_triangle.c:182 @ b08e)
  0.17     52.43     0.11                             fill_triangle_texture (fill_triangle.c:183 @ b094)
  0.17     52.54     0.11                             fill_triangle_texture (fill_triangle.c:219 @ b3c4)
  0.17     52.65     0.11                             fill_triangle_texture (fill_triangle.c:247 @ b604)
  0.17     52.76     0.11                             fill_triangle_texture (fill_triangle.c:251 @ b62c)
  0.17     52.87     0.11                             paethPredictor (lodepng.c:4245 @ 1bc3c)
  0.16     52.97     0.10                             cpy_triangle_data_rasterize (draw.c:244 @ 5618)
  0.16     53.07     0.10                             fill_triangle_color (fill_triangle2.c:134 @ b9e0)
  0.16     53.17     0.10                             get_unset_last_used_index (clipping_xy.c:54 @ d1b8)
  0.16     53.27     0.10                             unit_vec3 (vec3.c:22 @ 5ede)
  0.16     53.37     0.10                             update_adler32 (lodepng.c:2147 @ 17317)
  0.15     53.47     0.10                             paethPredictor (lodepng.c:4249 @ 1bc76)
  0.14     53.55     0.09                             draw_mesh (draw.c:373 @ 5b13)
  0.14     53.65     0.09                             fill_triangle_color (fill_triangle2.c:145 @ b947)
  0.14     53.73     0.09                             fill_triangle_color (fill_triangle2.c:211 @ bc34)
  0.14     53.83     0.09                             fill_triangle_color (fill_triangle2.c:211 @ bd4e)
  0.14     53.91     0.09                             fill_triangle_texture (fill_triangle.c:219 @ b3b1)
  0.14     54.01     0.09                             paethPredictor (lodepng.c:4241 @ 1bc0e)
  0.14     54.09     0.09                             unfilterScanline (lodepng.c:4496 @ 1d448)
  0.13     54.18     0.09                             fill_triangle_color (fill_triangle2.c:147 @ b94a)
  0.13     54.27     0.09                             fill_triangle_texture (fill_triangle.c:151 @ af5c)
  0.13     54.34     0.08                             draw_mesh (draw.c:378 @ 5c32)
  0.13     54.42     0.08                             fill_triangle_color (fill_triangle2.c:135 @ b904)
  0.13     54.51     0.08                             fill_triangle_color (fill_triangle2.c:208 @ bc1e)
  0.13     54.59     0.08                             fill_triangle_color (fill_triangle2.c:210 @ bd4b)
  0.13     54.66     0.08                             rasterize (draw.c:265 @ 54a9)
  0.13     54.74     0.08                             unfilterScanline (lodepng.c:4497 @ 1d47d)
  0.13     54.83     0.08                             unfilterScanline (lodepng.c:4498 @ 1d4b2)
  0.11     54.90     0.07                             draw_mesh (draw.c:372 @ 5afe)
  0.11     54.97     0.07                             fill_slider (menu.c:88 @ de4c)
  0.11     55.03     0.07                             fill_triangle_color (fill_triangle2.c:202 @ bbf0)
  0.11     55.10     0.07                             fill_triangle_color (fill_triangle2.c:208 @ bd40)
  0.11     55.17     0.07                             ft_memcpy (ft_memcpy.c:31 @ ec18)
  0.11     55.24     0.07                             ft_memcpy (ft_memcpy.c:28 @ edaa)
  0.11     55.31     0.07                             rasterize (draw.c:328 @ 5875)
  0.11     55.38     0.07                             reset_pixel_buffer_main (main.c:104 @ 33df)
  0.11     55.45     0.07                             unfilterScanline (lodepng.c:4494 @ 1d3ef)
  0.10     55.52     0.07                             v3_sub (vec3.c:141 @ 628a)
  0.09     55.58     0.06                             advanceBits (lodepng.c:570 @ 1561f)
  0.09     55.64     0.06                             count_inside_points (clipping_xy.c:156 @ cda7)
  0.09     55.70     0.06                             draw_mesh (draw.c:389 @ 5cff)
  0.09     55.76     0.06                             ensureBits32 (lodepng.c:547 @ 15440)
  0.09     55.82     0.06                             fill_triangle_color (fill_triangle2.c:139 @ b911)
  0.09     55.88     0.06                             fill_triangle_color (fill_triangle2.c:206 @ bc00)
  0.09     55.94     0.06                             fill_triangle_color (fill_triangle2.c:203 @ bc0d)
  0.09     56.00     0.06                             ft_memcpy (ft_memcpy.c:20 @ ebd5)
  0.09     56.06     0.06                             ft_memcpy (ft_memcpy.c:22 @ ebda)
  0.09     56.12     0.06                             inflateHuffmanBlock (lodepng.c:1295 @ 16bdb)
  0.09     56.18     0.06                             unfilterScanline (lodepng.c:4499 @ 1d4e7)
  0.09     56.24     0.06                             unit_vec3 (vec3.c:32 @ 5f20)
  0.09     56.30     0.06                             advanceBits (lodepng.c:569 @ 15607)
  0.09     56.35     0.06                             call_clipping_xy (clipping_xy.c:261 @ cc2a)
  0.09     56.41     0.06                             ft_memcpy (ft_memcpy.c:29 @ ecc7)
  0.09     56.46     0.06                             ft_memcpy (ft_memcpy.c:28 @ eccf)
  0.09     56.52     0.06                             unfilterScanline (lodepng.c:4495 @ 1d417)
  0.09     56.57     0.06                             v3_sub (vec3.c:143 @ 6285)
  0.09     56.62     0.06                             v3_sub (vec3.c:145 @ 6297)
  0.09     56.68     0.06                             zero_f (utils1.c:64 @ 7a5e)
  0.09     56.73     0.06                             zero_f (utils1.c:64 @ 7a67)
  0.08     56.78     0.05 200249996     0.25     0.25  dot_prod_unit (vec3.c:110 @ 6170)
  0.08     56.84     0.05 68948573     0.73     0.73  call_clipping_xy (clipping_xy.c:250 @ cbe0)
  0.08     56.88     0.05                             draw_mesh (draw.c:379 @ 5c42)
  0.08     56.94     0.05                             draw_mesh (draw.c:416 @ 5d4a)
  0.08     56.98     0.05                             draw_mesh (draw.c:416 @ 5dab)
  0.08     57.03     0.05                             ensureBits32 (lodepng.c:549 @ 15483)
  0.08     57.09     0.05                             fill_triangle_color (fill_triangle2.c:207 @ bc08)
  0.08     57.13     0.05                             fill_triangle_color (fill_triangle2.c:212 @ bc3a)
  0.08     57.19     0.05                             fill_triangle_color (fill_triangle2.c:210 @ bd52)
  0.08     57.23     0.05                             huffmanDecodeSymbol (lodepng.c:1074 @ 161b2)
  0.08     57.28     0.05                             rasterize (draw.c:267 @ 5523)
  0.08     57.34     0.05                             unit_vec3 (vec3.c:30 @ 5f28)
  0.08     57.38     0.05                             update_adler32 (lodepng.c:2146 @ 17332)
  0.07     57.43     0.04                             count_inside_points (clipping_xy.c:160 @ cf70)
  0.07     57.48     0.04                             dot_prod_unit (vec3.c:112 @ 619e)
  0.07     57.52     0.04                             huffmanDecodeSymbol (lodepng.c:1078 @ 16200)
  0.07     57.56     0.04                             rasterize (draw.c:258 @ 545b)
  0.07     57.61     0.04                             v3_sub (vec3.c:146 @ 62ad)
  0.07     57.66     0.04                             v3_sub (vec3.c:145 @ 62ae)
  0.06     57.70     0.04                             clipping_z_near (clipping_z.c:143 @ c5f6)
  0.06     57.73     0.04                             clipping_z_near (clipping_z.c:193 @ c60e)
  0.06     57.77     0.04                             count_inside_points (clipping_xy.c:157 @ ce02)
  0.06     57.81     0.04                             ensureBits25 (lodepng.c:524 @ 15219)
  0.06     57.85     0.04                             fill_slider (menu.c:93 @ de88)
  0.06     57.90     0.04                             fill_triangle_color (fill_triangle2.c:139 @ b9f4)
  0.06     57.94     0.04                             fill_triangle_color (fill_triangle2.c:143 @ ba19)
  0.06     57.98     0.04                             fill_triangle_texture (fill_triangle.c:264 @ ad6d)
  0.06     58.02     0.04                             fill_triangle_texture (fill_triangle.c:211 @ b334)
  0.06     58.05     0.04                             fill_triangle_texture (fill_triangle.c:205 @ b4d7)
  0.06     58.09     0.04                             ft_memcpy (ft_memcpy.c:29 @ ecb5)
  0.06     58.13     0.04                             peekBits (lodepng.c:564 @ 155df)
  0.06     58.17     0.04                             rasterize (draw.c:251 @ 542e)
  0.06     58.22     0.04                             rasterize (draw.c:259 @ 5493)
  0.06     58.26     0.04                             rasterize (draw.c:286 @ 5603)
  0.06     58.30     0.04                             rasterize (draw.c:293 @ 5648)
  0.06     58.34     0.04                             scale_to_screen (draw.c:162 @ 56a5)
  0.06     58.38     0.04                             unfilterScanline (lodepng.c:4492 @ 1d35f)
  0.06     58.41     0.04                             draw_mesh (draw.c:419 @ 5dce)
  0.06     58.45     0.04                             fill_triangle_color (fill_triangle2.c:202 @ bd10)
  0.06     58.48     0.04                             fill_triangle_color (fill_triangle2.c:205 @ bd17)
  0.06     58.52     0.04                             ft_memcpy (ft_memcpy.c:28 @ ec9a)
  0.06     58.55     0.04                             ft_memcpy (ft_memcpy.c:29 @ eca3)
  0.06     58.59     0.04                             ft_memcpy (ft_memcpy.c:28 @ ece1)
  0.06     58.62     0.04                             ft_memcpy (ft_memcpy.c:29 @ eceb)
  0.06     58.66     0.04                             inflateHuffmanBlock (lodepng.c:1315 @ 16cff)
  0.06     58.69     0.04                             rasterize (draw.c:251 @ 5449)
  0.05     58.72     0.03                             advanceBits (lodepng.c:568 @ 155fb)
  0.05     58.75     0.03                             call_clipping_xy (clipping_xy.c:262 @ d150)
  0.05     58.78     0.03                             call_clipping_xy (clipping_xy.c:268 @ d268)
  0.05     58.81     0.03                             clipp_loop (clipping_xy.c:241 @ cd66)
  0.05     58.84     0.03                             clipping_z_near (clipping_z.c:137 @ c5a0)
  0.05     58.87     0.03                             clipping_z_near (clipping_z.c:137 @ c5d5)
  0.05     58.90     0.03                             clipping_z_near (clipping_z.c:142 @ c5e6)
  0.05     58.93     0.03                             count_inside_points (clipping_xy.c:158 @ cca0)
  0.05     58.96     0.03                             count_inside_points (clipping_xy.c:162 @ cce0)
  0.05     58.99     0.03                             count_inside_points (clipping_xy.c:156 @ cdf2)
  0.05     59.02     0.03                             count_inside_points (clipping_xy.c:158 @ d028)
  0.05     59.05     0.03                             ensureBits25 (lodepng.c:525 @ 15225)
  0.05     59.08     0.03                             ensureBits32 (lodepng.c:542 @ 153b6)
  0.05     59.11     0.03                             ensureBits32 (lodepng.c:543 @ 153c2)
  0.05     59.14     0.03                             ensureBits32 (lodepng.c:548 @ 15466)
  0.05     59.17     0.03                             fill_slider (menu.c:90 @ de45)
  0.05     59.20     0.03                             fill_triangle_color (fill_triangle2.c:134 @ b8f8)
  0.05     59.23     0.03                             fill_triangle_color (fill_triangle2.c:136 @ b8fb)
  0.05     59.26     0.03                             fill_triangle_color (fill_triangle2.c:130 @ b955)
  0.05     59.29     0.03                             fill_triangle_color (fill_triangle2.c:205 @ bbf8)
  0.05     59.32     0.03                             fill_triangle_color (fill_triangle2.c:207 @ bd29)
  0.05     59.35     0.03                             fill_triangle_color (fill_triangle2.c:203 @ bd2f)
  0.05     59.38     0.03                             fill_triangle_texture (fill_triangle.c:145 @ af20)
  0.05     59.41     0.03                             fill_triangle_texture (fill_triangle.c:164 @ afa8)
  0.05     59.44     0.03                             fill_triangle_texture (fill_triangle.c:173 @ b00e)
  0.05     59.47     0.03                             fill_triangle_texture (fill_triangle.c:218 @ b349)
  0.05     59.50     0.03                             fill_triangle_texture (fill_triangle.c:218 @ b3a0)
  0.05     59.53     0.03                             ft_memcpy (ft_memcpy.c:29 @ ed0f)
  0.05     59.56     0.03                             ft_memcpy (ft_memcpy.c:28 @ ed17)
  0.05     59.59     0.03                             inflateHuffmanBlock (lodepng.c:1275 @ 16af6)
  0.05     59.62     0.03                             inflateHuffmanBlock (lodepng.c:1314 @ 16d3d)
  0.05     59.65     0.03                             projection_matrix (init_matrix.c:58 @ 9ffe)
  0.05     59.68     0.03                             projection_matrix (init_matrix.c:74 @ a034)
  0.05     59.71     0.03                             rasterize (draw.c:261 @ 549b)
  0.05     59.74     0.03                             rasterize (draw.c:310 @ 574c)
  0.05     59.77     0.03                             reading (get_next_line.c:19 @ f760)
  0.05     59.80     0.03                             set_index_usage (clipping_xy.c:86 @ cd54)
  0.04     59.83     0.03                             cross_product (vec3.c:106 @ 60fe)
  0.04     59.85     0.03                             cross_product (vec3.c:102 @ 610a)
  0.04     59.88     0.03                             draw_mesh (draw.c:370 @ 5ae1)
  0.04     59.90     0.03                             draw_mesh (draw.c:374 @ 5b2a)
  0.04     59.92     0.03                             draw_mesh (draw.c:407 @ 5d7f)
  0.04     59.95     0.03                             draw_mesh (draw.c:417 @ 5ddb)
  0.04     59.98     0.03                             fill_triangle_color (fill_triangle2.c:130 @ b9e8)
  0.04     60.00     0.03                             fill_triangle_color (fill_triangle2.c:135 @ b9eb)
  0.04     60.02     0.03                             fill_triangle_texture (fill_triangle.c:155 @ af87)
  0.04     60.05     0.03                             fill_triangle_texture (fill_triangle.c:143 @ b0f6)
  0.04     60.08     0.03                             fill_triangle_texture (fill_triangle.c:237 @ b3e3)
  0.04     60.10     0.03                             my_str_cpy (get_next_line_utils.c:74 @ 10526)
  0.04     60.12     0.03                             rasterize (draw.c:270 @ 553a)
  0.03     60.15     0.02 124236051     0.16     0.16  unit_vec3 (vec3.c:18 @ 5ed0)
  0.03     60.16     0.02 75372090     0.27     0.27  projection_matrix (init_matrix.c:57 @ 9ff0)
  0.03     60.19     0.02                             append_buffer (get_next_line_utils.c:126 @ 1055c)
  0.03     60.20     0.02                             append_buffer (get_next_line_utils.c:127 @ 10560)
  0.03     60.23     0.02                             call_clipping_xy (clipping_xy.c:250 @ cc11)
  0.03     60.24     0.02                             clipping_xy (clipping_xy.c:176 @ cd4c)
  0.03     60.27     0.02                             clipping_z_near (clipping_z.c:126 @ c589)
  0.03     60.28     0.02                             count_inside_points (clipping_xy.c:156 @ cc76)
  0.03     60.30     0.02                             count_inside_points (clipping_xy.c:160 @ cc87)
  0.03     60.33     0.02                             count_inside_points (clipping_xy.c:162 @ cd24)
  0.03     60.34     0.02                             count_inside_points (clipping_xy.c:157 @ cdce)
  0.03     60.37     0.02                             count_inside_points (clipping_xy.c:157 @ cde7)
  0.03     60.38     0.02                             count_inside_points (clipping_xy.c:160 @ d008)
  0.03     60.41     0.02                             count_inside_points (clipping_xy.c:158 @ d05f)
  0.03     60.42     0.02                             count_inside_points (clipping_xy.c:160 @ d28c)
  0.03     60.45     0.02                             count_inside_points (clipping_xy.c:156 @ d394)
  0.03     60.47     0.02                             cross_product (vec3.c:102 @ 6131)
  0.03     60.48     0.02                             draw_mesh (draw.c:367 @ 5ad0)
  0.03     60.51     0.02                             draw_mesh (draw.c:381 @ 5cda)
  0.03     60.52     0.02                             ensureBits32 (lodepng.c:545 @ 153de)
  0.03     60.55     0.02                             ensureBits32 (lodepng.c:546 @ 1545f)
  0.03     60.56     0.02                             fill_slider (menu.c:90 @ de38)
  0.03     60.59     0.02                             fill_triangle_color (fill_triangle2.c:135 @ b8c7)
  0.03     60.60     0.02                             fill_triangle_color (fill_triangle2.c:141 @ b91e)
  0.03     60.62     0.02                             fill_triangle_color (fill_triangle2.c:183 @ bb70)
  0.03     60.65     0.02                             fill_triangle_color (fill_triangle2.c:210 @ bc2a)
  0.03     60.66     0.02                             fill_triangle_color (fill_triangle2.c:197 @ bc3e)
  0.03     60.69     0.02                             fill_triangle_texture (fill_triangle.c:149 @ af34)
  0.03     60.70     0.02                             fill_triangle_texture (fill_triangle.c:149 @ af4c)
  0.03     60.73     0.02                             fill_triangle_texture (fill_triangle.c:155 @ af9e)
  0.03     60.74     0.02                             fill_triangle_texture (fill_triangle.c:168 @ afb0)
  0.03     60.77     0.02                             fill_triangle_texture (fill_triangle.c:171 @ afd4)
  0.03     60.78     0.02                             fill_triangle_texture (fill_triangle.c:185 @ b003)
  0.03     60.80     0.02                             fill_triangle_texture (fill_triangle.c:174 @ b11c)
  0.03     60.83     0.02                             fill_triangle_texture (fill_triangle.c:224 @ b3d4)
  0.03     60.84     0.02                             fill_triangle_texture (fill_triangle.c:233 @ b3da)
  0.03     60.87     0.02                             fill_triangle_texture (fill_triangle.c:240 @ b3f1)
  0.03     60.88     0.02                             getPixelColorsRGBA8 (lodepng.c:3633 @ 1a3b3)
  0.03     60.91     0.02                             get_unset_last_used_index (clipping_xy.c:54 @ d17c)
  0.03     60.92     0.02                             get_unset_last_used_index (clipping_xy.c:56 @ d1c2)
  0.03     60.95     0.02                             huffmanDecodeSymbol (lodepng.c:1073 @ 1619e)
  0.03     60.97     0.02                             huffmanDecodeSymbol (lodepng.c:1075 @ 161c7)
  0.03     60.98     0.02                             huffmanDecodeSymbol (lodepng.c:1077 @ 161f9)
  0.03     61.01     0.02                             inflateHuffmanBlock (lodepng.c:1261 @ 16a23)
  0.03     61.02     0.02                             inflateHuffmanBlock (lodepng.c:1278 @ 16b1b)
  0.03     61.05     0.02                             inflateHuffmanBlock (lodepng.c:1279 @ 16b40)
  0.03     61.06     0.02                             inflateHuffmanBlock (lodepng.c:1305 @ 16c3e)
  0.03     61.09     0.02                             inflateHuffmanBlock (lodepng.c:1306 @ 16c50)
  0.03     61.10     0.02                             inflateHuffmanBlock (lodepng.c:1307 @ 16c6e)
  0.03     61.12     0.02                             inflateHuffmanBlock (lodepng.c:1312 @ 16caf)
  0.03     61.15     0.02                             inflateHuffmanBlock (lodepng.c:1318 @ 16d4e)
  0.03     61.16     0.02                             inflateHuffmanBlock (lodepng.c:1325 @ 16dad)
  0.03     61.19     0.02                             my_str_cpy (get_next_line_utils.c:71 @ 1051c)
  0.03     61.20     0.02                             rasterize (draw.c:264 @ 550c)
  0.03     61.23     0.02                             rasterize (draw.c:285 @ 55e2)
  0.03     61.24     0.02                             rasterize (draw.c:286 @ 55ea)
  0.03     61.27     0.02                             rasterize (draw.c:300 @ 5683)
  0.03     61.28     0.02                             rasterize (draw.c:301 @ 56d2)
  0.03     61.30     0.02                             rasterize (draw.c:304 @ 56da)
  0.03     61.33     0.02                             readBits (lodepng.c:574 @ 15639)
  0.03     61.34     0.02                             reading (get_next_line.c:17 @ f79a)
  0.03     61.37     0.02                             reset_pixel_buffer (utils1.c:57 @ 79fb)
  0.03     61.38     0.02                             unfilterScanline (lodepng.c:4390 @ 1c40a)
  0.03     61.41     0.02                             update_adler32 (lodepng.c:2146 @ 1730e)
  0.03     61.42     0.02                             v3_add_incl_uv (fill_triangle.c:75 @ af93)
  0.03     61.45     0.02                             v3_add_incl_uv (fill_triangle.c:76 @ afe2)
  0.03     61.47     0.02                             v3_add_incl_uv (fill_triangle.c:76 @ b5ad)
  0.03     61.48     0.02                             v3_sub (vec3.c:146 @ 62c0)
  0.02     61.50     0.01                             count_inside_points (clipping_xy.c:156 @ cd09)
  0.02     61.52     0.01                             count_inside_points (clipping_xy.c:152 @ cf8f)
  0.02     61.53     0.01                             cpy_triangle_data_rasterize (draw.c:240 @ 55a8)
  0.02     61.55     0.01                             cpy_triangle_data_rasterize (draw.c:242 @ 562f)
  0.02     61.56     0.01                             cpy_triangle_data_rasterize (draw.c:244 @ 5633)
  0.02     61.58     0.01                             fill_triangle_color (fill_triangle2.c:148 @ b943)
  0.02     61.59     0.01                             fill_triangle_texture (fill_triangle.c:150 @ af3e)
  0.02     61.60     0.01                             fill_triangle_texture (fill_triangle.c:149 @ af43)
  0.02     61.62     0.01                             fill_triangle_texture (fill_triangle.c:168 @ afa2)
  0.02     61.63     0.01                             huffmanDecodeSymbol (lodepng.c:1083 @ 16246)
  0.02     61.65     0.01                             my_str_cpy (get_next_line_utils.c:71 @ 10523)
  0.02     61.66     0.01                             rasterize (draw.c:267 @ 5535)
  0.02     61.68     0.01                             rasterize (draw.c:286 @ 55b6)
  0.02     61.70     0.01                             v3_sub_incl_uv (fill_triangle.c:86 @ b1c6)
  0.02     61.70     0.01  9587604     1.04     1.04  ft_isdigit (ft_isdigit.c:14 @ eab0)
  0.02     61.72     0.01                             HuffmanTree_makeTable (lodepng.c:673 @ 157b9)
  0.02     61.73     0.01                             HuffmanTree_makeTable (lodepng.c:729 @ 15ade)
