Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.68     70.95     0.82                             inner_loop (fill_triangle.c:139 @ b530)
  0.68     71.77     0.82                             matrix_mult_vec3_4x4 (matrix_mult.c:62 @ aa02)
  0.67     72.58     0.81                             inner_loop (fill_triangle.c:144 @ b556)
  0.64     73.34     0.77                             inner_loop (fill_triangle.c:145 @ b54c)
  0.60     74.07     0.72                             inner_loop (fill_triangle.c:140 @ b55a)
  0.60     74.79     0.72                             inner_loop (fill_triangle.c:136 @ b5d0)
  0.60     75.51     0.72                             inner_loop (fill_triangle.c:158 @ b5d3)
  0.56     76.18     0.67                             get_unset_used_index (clipping_xy.c:69 @ ccd2)
  0.56     76.85     0.67                             inner_loop (fill_triangle.c:158 @ b041)
  0.56     77.52     0.67                             inner_loop (fill_triangle.c:141 @ b562)
  0.54     78.17     0.65                             inner_loop (fill_triangle.c:136 @ b03e)
  0.53     78.81     0.64                             inner_loop (fill_triangle.c:154 @ b022)
  0.53     79.44     0.64                             inner_loop (fill_triangle.c:153 @ b5c2)
  0.52     80.08     0.63                             inner_loop (fill_triangle.c:153 @ b02a)
  0.51     80.69     0.62                             inner_loop (fill_triangle.c:147 @ aff9)
  0.51     81.31     0.61                             inner_loop (fill_triangle.c:154 @ b5aa)
  0.51     81.92     0.61                             draw_mesh (draw.c:421 @ 5df1)
  0.50     82.52     0.60                             inner_loop (fill_triangle.c:149 @ b007)
  0.48     83.10     0.58                             inner_loop (fill_triangle.c:140 @ b55f)
  0.47     83.67     0.57                             inner_loop (fill_triangle.c:153 @ b01d)
  0.45     84.21     0.54                             fill_triangle_color (fill_triangle2.c:204 @ bc90)
  0.45     84.75     0.54                             inner_loop (fill_triangle.c:146 @ afe8)
  0.43     85.27     0.52                             inner_loop (fill_triangle.c:141 @ b550)
  0.43     85.78     0.52                             fill_triangle_color (fill_triangle2.c:143 @ b963)
  0.43     86.30     0.52                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b027)
  0.42     86.81     0.51                             inner_loop (fill_triangle.c:149 @ b58e)
  0.41     87.31     0.50                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b5c0)
  0.41     87.81     0.50                             lodepng_memset (lodepng.c:129 @ 14979)
  0.41     88.30     0.49                             ft_memcpy (ft_memcpy.c:28 @ eb92)
  0.40     88.78     0.48                             inner_loop (fill_triangle.c:151 @ b5a5)
  0.39     89.26     0.47                             get_unset_used_index (clipping_xy.c:71 @ ccbf)
  0.38     89.72     0.46                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b5c6)
  0.37     90.16     0.45                             fill_triangle_color (fill_triangle2.c:202 @ bb4e)
  0.37     90.61     0.45                             inner_loop (fill_triangle.c:147 @ afe2)
  0.36     91.04     0.43                             inner_loop (fill_triangle.c:147 @ b589)
  0.35     91.47     0.42                             fill_triangle_color (fill_triangle2.c:142 @ b95d)
  0.35     91.89     0.42                             fill_triangle_texture (fill_triangle.c:236 @ b09c)
  0.34     92.30     0.41                             lodepng_memcpy (lodepng.c:123 @ 1492e)
  0.34     92.70     0.41                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b00a)
  0.32     93.09     0.39                             inner_loop (fill_triangle.c:136 @ b5d5)
  0.32     93.48     0.39                             matrix_mult_vec3_4x4 (matrix_mult.c:63 @ aa51)
  0.32     93.86     0.38                             fill_triangle_color (fill_triangle2.c:204 @ bb48)
  0.32     94.25     0.38                             inner_loop (fill_triangle.c:150 @ b015)
  0.31     94.61     0.37                             inner_loop (fill_triangle.c:136 @ b3b0)
  0.30     94.98     0.36                             fill_triangle_texture (fill_triangle.c:244 @ b065)
  0.30     95.34     0.36                             inner_loop (fill_triangle.c:153 @ b5bb)
  0.30     95.70     0.36                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b5b8)
  0.29     96.05     0.34                             matrix_mult_vec3_4x4 (matrix_mult.c:65 @ aa98)
  0.28     96.39     0.34                             inner_loop (fill_triangle.c:144 @ b571)
  0.28     96.72     0.34                             inner_loop (fill_triangle.c:151 @ b00d)
  0.27     97.04     0.32                             fill_triangle_texture (fill_triangle.c:271 @ b371)
  0.27     97.36     0.32                             inner_loop (fill_triangle.c:135 @ b4cb)
  0.26     97.67     0.31                             inner_loop (fill_triangle.c:136 @ b046)
  0.25     97.97     0.30                             fill_triangle_texture (fill_triangle.c:216 @ af0d)
  0.25     98.28     0.30                             inner_loop (fill_triangle.c:152 @ b002)
  0.25     98.58     0.30                             inner_loop (fill_triangle.c:141 @ b55c)
  0.25     98.88     0.30                             inner_loop (fill_triangle.c:152 @ b5a0)
  0.24     99.16     0.28                             inner_loop (fill_triangle.c:151 @ affe)
  0.23     99.44     0.28                             ft_memcpy (ft_memcpy.c:29 @ eb88)
  0.23     99.71     0.28                             inner_loop (fill_triangle.c:150 @ b597)
  0.23     99.98     0.28                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b594)
  0.22    100.25     0.27                             ft_memcpy (ft_memcpy.c:29 @ ebc3)
  0.22    100.51     0.26                             matrix_mult_vec3_4x4 (matrix_mult.c:64 @ aa74)
  0.20    100.75     0.24 108791005     2.21     2.21  rasterize (draw.c:251 @ 53e0)
  0.20    100.99     0.24                             inner_loop (fill_triangle.c:139 @ b537)
  0.19    101.22     0.23                             fill_triangle_texture (fill_triangle.c:214 @ aefd)
  0.19    101.44     0.23                             fill_triangle_color (fill_triangle2.c:142 @ b893)
  0.18    101.67     0.22 850753623     0.26     0.26  matrix_mult_vec3_4x4 (matrix_mult.c:61 @ a9f0)
  0.18    101.88     0.21                             matrix_mult_vec3_4x4 (matrix_mult.c:66 @ aabf)
  0.17    102.08     0.20                             _init
  0.17    102.28     0.20                             paethPredictor (lodepng.c:4244 @ 1bb77)
  0.16    102.47     0.19                             cpy_triangle_data_rasterize (draw.c:244 @ 5618)
  0.16    102.66     0.19                             fill_triangle_color (fill_triangle2.c:205 @ bb65)
  0.15    102.84     0.18                             fill_triangle_texture (fill_triangle.c:302 @ b498)
  0.15    103.03     0.18                             inner_loop (fill_triangle.c:145 @ af75)
  0.15    103.20     0.18                             my_str_cpy (get_next_line_utils.c:70 @ 10448)
  0.14    103.38     0.17                             fill_triangle_color (fill_triangle2.c:204 @ bb6f)
  0.14    103.55     0.17                             fill_triangle_color (fill_triangle2.c:205 @ bc85)
  0.14    103.72     0.17                             ft_memcpy (ft_memcpy.c:28 @ eb2f)
  0.14    103.89     0.17                             rasterize (draw.c:328 @ 5875)
  0.14    104.05     0.17                             paethPredictor (lodepng.c:4250 @ 1bbdf)
  0.13    104.21     0.16 525046990     0.30     0.30  v3_sub (vec3.c:138 @ 6270)
  0.13    104.37     0.16                             inner_loop (fill_triangle.c:151 @ b59c)
  0.13    104.53     0.16                             inner_loop (fill_triangle.c:153 @ b5b3)
  0.12    104.68     0.15 368606167     0.41     0.41  zero_f (utils1.c:63 @ 7a50)
  0.12    104.83     0.15 115467125     1.30     1.30  clipping_z_near (clipping_z.c:126 @ c490)
  0.12    104.97     0.14                             draw_mesh (draw.c:370 @ 5ae1)
  0.12    105.12     0.14                             fill_triangle_color (fill_triangle2.c:135 @ b85b)
  0.12    105.27     0.14                             fill_triangle_color (fill_triangle2.c:208 @ bb84)
  0.12    105.41     0.14                             fill_triangle_color (fill_triangle2.c:205 @ bb75)
  0.11    105.54     0.14                             dot_prod_unit (vec3.c:111 @ 617e)
  0.11    105.67     0.14                             fill_triangle_color (fill_triangle2.c:134 @ b855)
  0.11    105.81     0.14                             update_adler32 (lodepng.c:2148 @ 1727c)
  0.10    105.94     0.12                             fill_triangle_color (fill_triangle2.c:139 @ b868)
  0.10    106.06     0.12                             fill_triangle_color (fill_triangle2.c:199 @ bc60)
  0.10    106.19     0.12                             fill_triangle_color (fill_triangle2.c:197 @ bcae)
  0.10    106.31     0.12                             fill_triangle_texture (fill_triangle.c:294 @ b4c7)
  0.10    106.44     0.12                             paethPredictor (lodepng.c:4247 @ 1bba1)
  0.10    106.56     0.12 424493692     0.28     0.28  ft_memcpy (ft_memcpy.c:16 @ eb10)
  0.10    106.67     0.12                             clipping_z_near (clipping_z.c:193 @ c55e)
  0.10    106.80     0.12                             draw_mesh (draw.c:389 @ 5cff)
  0.10    106.92     0.12                             ft_memcpy (ft_memcpy.c:29 @ ec05)
  0.10    107.03     0.12                             v3_add_incl_uv (fill_triangle.c:76 @ af82)
  0.10    107.16     0.12                             v3_sub (vec3.c:145 @ 6297)
  0.10    107.27     0.12                             draw_mesh (draw.c:379 @ 5c42)
  0.10    107.39     0.12                             paethPredictor (lodepng.c:4241 @ 1bb5e)
  0.09    107.50     0.11                             fill_triangle_color (fill_triangle2.c:130 @ b8af)
  0.09    107.61     0.11                             fill_triangle_color (fill_triangle2.c:140 @ b948)
  0.09    107.72     0.11                             fill_triangle_color (fill_triangle2.c:145 @ b971)
  0.09    107.83     0.11                             fill_triangle_color (fill_triangle2.c:199 @ bb40)
  0.09    107.93     0.10                             draw_mesh (draw.c:373 @ 5b13)
  0.09    108.03     0.10                             v3_add_incl_uv (fill_triangle.c:75 @ b37d)
  0.08    108.14     0.10 284624657     0.35     0.35  dot_prod_unit (vec3.c:110 @ 6170)
  0.08    108.23     0.10                             draw_mesh (draw.c:372 @ 5afe)
  0.08    108.33     0.10                             draw_mesh (draw.c:374 @ 5b2a)
  0.08    108.44     0.10                             fill_triangle_color (fill_triangle2.c:140 @ b86f)
  0.08    108.53     0.10                             fill_triangle_color (fill_triangle2.c:207 @ bb81)
  0.08    108.64     0.10                             unfilterScanline (lodepng.c:4497 @ 1d3cd)
  0.08    108.73     0.10                             unfilterScanline (lodepng.c:4498 @ 1d402)
  0.08    108.83     0.10                             ensureBits32 (lodepng.c:549 @ 153d3)
  0.08    108.92     0.10                             fill_triangle_color (fill_triangle2.c:208 @ bca5)
  0.08    109.02     0.10                             get_unset_last_used_index (clipping_xy.c:54 @ d108)
  0.08    109.11     0.10                             update_adler32 (lodepng.c:2147 @ 17267)
  0.07    109.20     0.09                             draw_mesh (draw.c:378 @ 5c32)
  0.07    109.30     0.09                             fill_triangle_color (fill_triangle2.c:209 @ bb8a)
  0.07    109.39     0.09                             ft_memcpy (ft_memcpy.c:28 @ ecfa)
  0.07    109.47     0.09                             reset_pixel_buffer_main (main.c:104 @ 33df)
  0.07    109.56     0.09                             v3_add_incl_uv (fill_triangle.c:77 @ b33b)
  0.07    109.66     0.09                             v3_sub (vec3.c:146 @ 62c0)
  0.07    109.74     0.09                             fill_triangle_color (fill_triangle2.c:197 @ bb8e)
  0.07    109.83     0.09                             v3_add_incl_uv (fill_triangle.c:75 @ af4c)
  0.07    109.91     0.08                             call_clipping_xy (clipping_xy.c:261 @ cb7a)
  0.07    109.98     0.08                             call_clipping_xy (clipping_xy.c:268 @ d1b8)
  0.07    110.06     0.08                             fill_triangle_color (fill_triangle2.c:145 @ b8a1)
  0.07    110.14     0.08                             fill_triangle_color (fill_triangle2.c:148 @ b8ab)
  0.07    110.22     0.08                             fill_triangle_color (fill_triangle2.c:130 @ b981)
  0.07    110.31     0.08                             fill_triangle_color (fill_triangle2.c:207 @ bb7a)
  0.07    110.39     0.08                             ft_memcpy (ft_memcpy.c:28 @ ec31)
  0.07    110.47     0.08                             unit_vec3 (vec3.c:22 @ 5ede)
  0.07    110.55     0.08                             v3_sub (vec3.c:146 @ 62ad)
  0.07    110.62     0.08                             v3_sub (vec3.c:145 @ 62ae)
  0.06    110.70     0.07                             advanceBits (lodepng.c:569 @ 15557)
  0.06    110.78     0.07                             fill_triangle_texture (fill_triangle.c:210 @ aed0)
  0.06    110.85     0.07                             fill_triangle_texture (fill_triangle.c:208 @ b077)
  0.06    110.92     0.07                             ft_memcpy (ft_memcpy.c:29 @ ec5f)
  0.06    111.00     0.07                             ft_memcpy (ft_memcpy.c:28 @ ec67)
  0.06    111.08     0.07                             inner_loop (fill_triangle.c:149 @ b012)
  0.06    111.15     0.07                             inner_loop (fill_triangle.c:136 @ b4c0)
  0.06    111.22     0.07                             v3_sub (vec3.c:141 @ 628a)
  0.06    111.30     0.07                             count_inside_points (clipping_xy.c:156 @ ccf7)
  0.06    111.36     0.07                             fill_triangle_color (fill_triangle2.c:142 @ b96a)
  0.06    111.44     0.07                             fill_triangle_color (fill_triangle2.c:147 @ b977)
  0.06    111.50     0.07                             fill_triangle_color (fill_triangle2.c:148 @ b97d)
  0.06    111.58     0.07                             fill_triangle_color (fill_triangle2.c:208 @ bc9e)
  0.06    111.64     0.07                             fill_triangle_texture (fill_triangle.c:264 @ b2ff)
  0.06    111.72     0.07                             fill_triangle_texture (fill_triangle.c:270 @ b35e)
  0.06    111.78     0.07                             ft_memcpy (ft_memcpy.c:31 @ eb68)
  0.06    111.86     0.07                             ft_memcpy (ft_memcpy.c:29 @ ec4d)
  0.06    111.92     0.07                             paethPredictor (lodepng.c:4245 @ 1bb8c)
  0.06    112.00     0.07                             peekBits (lodepng.c:564 @ 1552f)
  0.06    112.06     0.07                             rasterize (draw.c:265 @ 54a9)
  0.06    112.14     0.07                             unit_vec3 (vec3.c:32 @ 5f20)
  0.05    112.20     0.07                             fill_triangle_texture (fill_triangle.c:214 @ aee5)
  0.05    112.27     0.07                             fill_triangle_texture (fill_triangle.c:271 @ b362)
  0.05    112.33     0.07                             unfilterScanline (lodepng.c:4499 @ 1d437)
  0.05    112.39     0.07                             v3_sub (vec3.c:143 @ 6285)
  0.05    112.45     0.06 174796191     0.34     0.34  cross_product (vec3.c:99 @ 60f0)
  0.05    112.52     0.06 106022955     0.57     0.57  call_clipping_xy (clipping_xy.c:250 @ cb30)
  0.05    112.58     0.06                             count_inside_points (clipping_xy.c:158 @ cf78)
  0.05    112.64     0.06                             draw_mesh (draw.c:381 @ 5cda)
  0.05    112.69     0.06                             fill_triangle_color (fill_triangle2.c:135 @ b93b)
  0.05    112.75     0.06                             fill_triangle_color (fill_triangle2.c:203 @ bb56)
  0.05    112.81     0.06                             fill_triangle_color (fill_triangle2.c:203 @ bc76)
  0.05    112.88     0.06                             fill_triangle_color (fill_triangle2.c:205 @ bc96)
  0.05    112.94     0.06                             fill_triangle_color (fill_triangle2.c:207 @ bca2)
  0.05    113.00     0.06                             fill_triangle_texture (fill_triangle.c:231 @ b090)
  0.05    113.06     0.06                             fill_triangle_texture (fill_triangle.c:263 @ b2f5)
  0.05    113.11     0.06                             ft_memcpy (ft_memcpy.c:29 @ ec3b)
  0.05    113.17     0.06                             inner_loop (fill_triangle.c:152 @ b4fa)
  0.05    113.23     0.06                             rasterize (draw.c:293 @ 5648)
  0.05    113.30     0.06                             unfilterScanline (lodepng.c:4496 @ 1d398)
  0.05    113.36     0.06                             unit_vec3 (vec3.c:30 @ 5f28)
  0.05    113.41     0.06                             dot_prod_unit (vec3.c:112 @ 619e)
  0.05    113.47     0.06                             ensureBits32 (lodepng.c:543 @ 15312)
  0.05    113.52     0.06                             ensureBits32 (lodepng.c:546 @ 15340)
  0.05    113.58     0.06                             fill_triangle_texture (fill_triangle.c:285 @ b393)
  0.05    113.63     0.06                             ft_memcpy (ft_memcpy.c:28 @ ebea)
  0.05    113.69     0.06                             inflateHuffmanBlock (lodepng.c:1295 @ 16b2b)
  0.05    113.74     0.06                             update_adler32 (lodepng.c:2146 @ 17282)
  0.04    113.79     0.05                             call_clipping_xy (clipping_xy.c:257 @ cb59)
  0.04    113.84     0.05                             call_clipping_xy (clipping_xy.c:262 @ d0a0)
  0.04    113.89     0.05                             count_inside_points (clipping_xy.c:156 @ cbc6)
  0.04    113.94     0.05                             cross_product (vec3.c:102 @ 6131)
  0.04    113.99     0.05                             draw_mesh (draw.c:416 @ 5dab)
  0.04    114.04     0.05                             fill_triangle_color (fill_triangle2.c:143 @ b895)
  0.04    114.09     0.05                             fill_triangle_color (fill_triangle2.c:136 @ b934)
  0.04    114.14     0.05                             fill_triangle_color (fill_triangle2.c:141 @ b950)
  0.04    114.19     0.05                             fill_triangle_color (fill_triangle2.c:143 @ b958)
  0.04    114.24     0.05                             fill_triangle_color (fill_triangle2.c:208 @ bb7d)
  0.04    114.29     0.05                             fill_triangle_texture (fill_triangle.c:216 @ aef8)
  0.04    114.34     0.05                             ft_memcpy (ft_memcpy.c:29 @ ebf3)
  0.04    114.39     0.05                             inflateHuffmanBlock (lodepng.c:1315 @ 16c4f)
  0.04    114.44     0.05                             inner_loop (fill_triangle.c:152 @ af94)
  0.04    114.49     0.05                             inner_loop (fill_triangle.c:144 @ aff0)
  0.04    114.54     0.05                             inner_loop (fill_triangle.c:135 @ b3ad)
  0.04    114.59     0.05                             rasterize (draw.c:265 @ 5858)
  0.04    114.64     0.05                             scale_to_screen (draw.c:156 @ 5674)
  0.04    114.69     0.05                             unfilterScanline (lodepng.c:4493 @ 1d2d7)
  0.04    114.74     0.05                             v3_add_incl_uv (fill_triangle.c:76 @ af9f)
  0.04    114.78     0.04                             fill_triangle_color (fill_triangle2.c:134 @ b850)
  0.04    114.83     0.04                             fill_triangle_color (fill_triangle2.c:136 @ b852)
  0.04    114.88     0.04                             fill_triangle_texture (fill_triangle.c:292 @ b3a4)
  0.04    114.92     0.04                             fill_triangle_texture (fill_triangle.c:289 @ b3a7)
  0.04    114.97     0.04                             fill_triangle_texture (fill_triangle.c:257 @ b4aa)
  0.04    115.01     0.04                             update_adler32 (lodepng.c:2146 @ 1725e)
  0.04    115.06     0.04                             v3_add_incl_uv (fill_triangle.c:76 @ b4e8)
  0.03    115.09     0.04 108791005     0.37     0.37  projection_matrix (init_matrix.c:57 @ 9fe0)
  0.03    115.14     0.04                             advanceBits (lodepng.c:568 @ 1554b)
  0.03    115.17     0.04                             advanceBits (lodepng.c:570 @ 1556f)
  0.03    115.22     0.04                             clipping_xy (clipping_xy.c:176 @ cc9c)
  0.03    115.25     0.04                             count_inside_points (clipping_xy.c:160 @ cec0)
  0.03    115.30     0.04                             count_inside_points (clipping_xy.c:160 @ cfbf)
  0.03    115.33     0.04                             cpy_triangle_data_rasterize (draw.c:240 @ 557c)
  0.03    115.38     0.04                             draw_mesh (draw.c:416 @ 5d4a)
  0.03    115.42     0.04                             draw_mesh (draw.c:409 @ 5d87)
  0.03    115.45     0.04                             draw_mesh (draw.c:367 @ 5e57)
  0.03    115.50     0.04                             fill_triangle_color (fill_triangle2.c:139 @ b944)
  0.03    115.53     0.04                             fill_triangle_color (fill_triangle2.c:207 @ bc9b)
  0.03    115.58     0.04                             fill_triangle_texture (fill_triangle.c:225 @ af29)
  0.03    115.61     0.04                             fill_triangle_texture (fill_triangle.c:218 @ af37)
  0.03    115.66     0.04                             fill_triangle_texture (fill_triangle.c:270 @ b30a)
  0.03    115.69     0.04                             fill_triangle_texture (fill_triangle.c:281 @ b38f)
  0.03    115.73     0.04                             ft_memcpy (ft_memcpy.c:20 @ eb25)
  0.03    115.78     0.04                             ft_memcpy (ft_memcpy.c:22 @ eb2a)
  0.03    115.81     0.04                             inflateHuffmanBlock (lodepng.c:1314 @ 16c8d)
  0.03    115.86     0.04                             inner_loop (fill_triangle.c:152 @ b50d)
  0.03    115.89     0.04                             my_str_cpy (get_next_line_utils.c:71 @ 1046c)
  0.03    115.94     0.04                             rasterize (draw.c:251 @ 5449)
  0.03    115.97     0.04                             rasterize (draw.c:261 @ 549b)
  0.03    116.02     0.04                             rasterize (draw.c:270 @ 553a)
  0.03    116.06     0.04                             rasterize (draw.c:293 @ 5652)
  0.03    116.09     0.04                             rasterize (draw.c:291 @ 5657)
  0.03    116.14     0.04                             v3_add_incl_uv (fill_triangle.c:77 @ b31c)
  0.03    116.17     0.04                             draw_mesh (draw.c:417 @ 5ddb)
  0.03    116.20     0.04                             ft_memcpy (ft_memcpy.c:29 @ ec17)
  0.03    116.24     0.04                             ft_memcpy (ft_memcpy.c:28 @ ec1f)
  0.03    116.28     0.04                             my_str_cpy (get_next_line_utils.c:74 @ 10494)
  0.03    116.31     0.04                             peekBits (lodepng.c:562 @ 15523)
  0.03    116.34     0.04                             unfilterScanline (lodepng.c:4491 @ 1d49f)
  0.03    116.38     0.04                             zero_f (utils1.c:64 @ 7a5e)
  0.03    116.42     0.04                             zero_f (utils1.c:64 @ 7a67)
  0.02    116.44     0.03                             append_buffer (get_next_line_utils.c:114 @ 104c5)
  0.02    116.47     0.03                             count_inside_points (clipping_xy.c:158 @ cbbd)
  0.02    116.50     0.03                             count_inside_points (clipping_xy.c:162 @ cc30)
  0.02    116.53     0.03                             count_inside_points (clipping_xy.c:160 @ cf58)
  0.02    116.56     0.03                             draw_mesh (draw.c:390 @ 5d67)
  0.02    116.59     0.03                             draw_mesh (draw.c:391 @ 5d6b)
  0.02    116.62     0.03                             draw_mesh (draw.c:407 @ 5d7f)
  0.02    116.66     0.03                             fill_triangle_color (fill_triangle2.c:147 @ b8a4)
  0.02    116.69     0.03                             fill_triangle_color (fill_triangle2.c:200 @ baf2)
  0.02    116.72     0.03                             fill_triangle_color (fill_triangle2.c:205 @ bc7e)
  0.02    116.75     0.03                             fill_triangle_color (fill_triangle2.c:209 @ bcaa)
  0.02    116.78     0.03                             fill_triangle_texture (fill_triangle.c:234 @ af65)
  0.02    116.81     0.03                             fill_triangle_texture (fill_triangle.c:234 @ af6c)
  0.02    116.83     0.03                             fill_triangle_texture (fill_triangle.c:231 @ af6f)
  0.02    116.86     0.03                             fill_triangle_texture (fill_triangle.c:292 @ b39b)
  0.02    116.89     0.03                             get_unset_used_index (clipping_xy.c:68 @ d377)
  0.02    116.92     0.03                             huffmanDecodeSymbol (lodepng.c:1074 @ 16102)
  0.02    116.95     0.03                             huffmanDecodeSymbol (lodepng.c:1075 @ 16117)
  0.02    116.98     0.03                             huffmanDecodeSymbol (lodepng.c:1077 @ 16149)
  0.02    117.02     0.03                             inflateHuffmanBlock (lodepng.c:1298 @ 16b49)
  0.02    117.05     0.03                             inflateHuffmanBlock (lodepng.c:1318 @ 16c9e)
  0.02    117.08     0.03                             inflateHuffmanBlock (lodepng.c:1325 @ 16cfd)
  0.02    117.11     0.03                             inner_loop (fill_triangle.c:151 @ b52c)
  0.02    117.14     0.03                             my_str_cpy (get_next_line_utils.c:80 @ 10519)
  0.02    117.17     0.03                             paethPredictor (lodepng.c:4249 @ 1bbc6)
  0.02    117.19     0.03                             rasterize (draw.c:251 @ 542e)
  0.02    117.22     0.03                             rasterize (draw.c:258 @ 545b)
  0.02    117.25     0.03                             rasterize (draw.c:267 @ 5523)
  0.02    117.28     0.03                             rasterize (draw.c:278 @ 5561)
  0.02    117.31     0.03                             readBits (lodepng.c:574 @ 15589)
  0.02    117.34     0.03                             sort_buffer (get_next_line_utils.c:92 @ 102a3)
  0.02    117.38     0.03                             sort_vertexes_for_y (fill_triangle.c:36 @ ac22)
  0.02    117.41     0.03                             unfilterScanline (lodepng.c:4492 @ 1d2af)
  0.02    117.44     0.03                             unfilterScanline (lodepng.c:4495 @ 1d367)
  0.02    117.47     0.03                             v3_add_incl_uv (fill_triangle.c:77 @ af2c)
  0.02    117.49     0.03                             clipp_loop (clipping_xy.c:241 @ ccb6)
  0.02    117.52     0.03                             count_inside_points (clipping_xy.c:157 @ cd52)
  0.02    117.54     0.03                             draw_mesh (draw.c:419 @ 5dce)
  0.02    117.56     0.03                             ensureBits32 (lodepng.c:545 @ 1532e)
  0.02    117.59     0.03                             fill_triangle_color (fill_triangle2.c:141 @ b877)
  0.02    117.61     0.03                             fill_triangle_texture (fill_triangle.c:211 @ aeda)
  0.02    117.64     0.03                             fill_triangle_texture (fill_triangle.c:231 @ af57)
  0.02    117.67     0.03                             fill_triangle_texture (fill_triangle.c:259 @ b2e0)
  0.02    117.69     0.03                             fill_triangle_texture (fill_triangle.c:260 @ b2ea)
  0.02    117.72     0.03                             fill_triangle_texture (fill_triangle.c:271 @ b359)
  0.02    117.74     0.03                             get_unset_last_used_index (clipping_xy.c:56 @ d112)
  0.02    117.77     0.03                             inflateHuffmanBlock (lodepng.c:1275 @ 16a46)
  0.02    117.79     0.03                             my_str_cpy (get_next_line_utils.c:70 @ 10470)
  0.02    117.81     0.03                             my_str_cpy (get_next_line_utils.c:71 @ 10473)
  0.02    117.83     0.02 175324135     0.11     0.11  unit_vec3 (vec3.c:18 @ 5ed0)
  0.02    117.86     0.02 12106101     1.65     1.65  fill_triangle_texture (fill_triangle.c:163 @ ac60)
  0.02    117.88     0.02                             append_buffer (get_next_line_utils.c:126 @ 104ac)
  0.02    117.89     0.02                             call_clipping_xy (clipping_xy.c:250 @ cb61)
  0.02    117.92     0.02                             clipping_z_near (clipping_z.c:126 @ c4c5)
  0.02    117.94     0.02                             clipping_z_near (clipping_z.c:136 @ c4df)
  0.02    117.95     0.02                             clipping_z_near (clipping_z.c:137 @ c4e6)
  0.02    117.97     0.02                             clipping_z_near (clipping_z.c:137 @ c525)
  0.02    118.00     0.02                             clipping_z_near (clipping_z.c:143 @ c546)
  0.02    118.02     0.02                             count_inside_points (clipping_xy.c:156 @ cbe3)
  0.02    118.03     0.02                             count_inside_points (clipping_xy.c:162 @ cc02)
  0.02    118.06     0.02                             count_inside_points (clipping_xy.c:156 @ cc59)
  0.02    118.08     0.02                             count_inside_points (clipping_xy.c:162 @ cc74)
  0.02    118.09     0.02                             count_inside_points (clipping_xy.c:157 @ cd1e)
  0.02    118.11     0.02                             count_inside_points (clipping_xy.c:156 @ cd27)
